date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:47:38	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2007%20Nov%202020%2015:47:38%20GMT	https://imgur.com/3pVp4s0.png	D:/www/kuluc/imgur.com/3pVp4s0.13.delayed	(from https://bonevn.net/)
15:47:38	305446/305446	---M--	200	added ('OK')	image/png	etag:%22b4d4ce06de1d0eca63aa9415a70b03c3%22	https://i.imgur.com/3pVp4s0.png	D:/www/kuluc/i.imgur.com/3pVp4s0.png	(from https://bonevn.net/)
15:47:50	20039/20039	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Nov%202020%2015:47:38%20GMT	https://bonevn.net/order/8	D:/www/kuluc/bonevn.net/order/8.html	(from https://bonevn.net/)
15:47:51	6984/6984	---M--	200	added ('OK')	image/png	etag:%221b48-574032a8a8bc0%22	https://www.terabox.vn/wp-content/uploads/2018/08/azure.microsoft.com_.png	D:/www/kuluc/www.terabox.vn/wp-content/uploads/2018/08/azure.microsoft.com_.png	(from https://bonevn.net/)
15:47:52	54307/54307	---M--	200	added ('OK')	image/png	etag:63d6ecd78662fef9b45b21bd304153c8	https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/AWS_Simple_Icons_AWS_Cloud.svg/1280px-AWS_Simple_Icons_AWS_Cloud.svg.png	D:/www/kuluc/upload.wikimedia.org/wikipedia/commons/thumb/5/5c/AWS_Simple_Icons_AWS_Cloud.svg/1280px-AWS_Simple_Icons_AWS_Cloud.svg.png	(from https://bonevn.net/)
15:47:53	28969/28969	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20Nov%202020%2015:47:53%20GMT	https://bonevn.net/vps/vps-us/	D:/www/kuluc/bonevn.net/vps/vps-us/index.html	(from https://bonevn.net/)
15:47:53	126512/126512	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2016%20Feb%202020%2009:55:00%20GMT	https://bonevn.net/assets/js/vendor-all.min.js	D:/www/kuluc/bonevn.net/assets/js/vendor-all.min.js	(from https://bonevn.net/)
15:47:53	26014/26014	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Nov%202020%2015:47:53%20GMT	https://bonevn.net/vps/vps-vn/	D:/www/kuluc/bonevn.net/vps/vps-vn/index.html	(from https://bonevn.net/)
15:47:54	4702/4702	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2016%20Feb%202020%2009:55:00%20GMT	https://bonevn.net/assets/js/ripple.js	D:/www/kuluc/bonevn.net/assets/js/ripple.js	(from https://bonevn.net/)
15:47:54	60010/60010	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2016%20Feb%202020%2009:55:00%20GMT	https://bonevn.net/assets/js/plugins/bootstrap.min.js	D:/www/kuluc/bonevn.net/assets/js/plugins/bootstrap.min.js	(from https://bonevn.net/)
